iter	Passed	Remaining
0	2	2144
1	3	1889
2	6	2161
3	8	2031
4	9	1964
5	11	1934
6	13	1901
7	15	1875
8	16	1858
9	18	1840
10	21	1895
11	23	1911
12	25	1901
13	26	1886
14	28	1873
15	30	1860
16	31	1849
17	33	1838
18	35	1827
19	37	1859
20	39	1852
21	41	1849
22	43	1859
23	45	1863
24	47	1855
25	49	1845
26	50	1837
27	53	1860
28	55	1862
29	57	1869
30	60	1875
31	62	1884
32	64	1878
33	65	1871
34	67	1874
35	71	1918
36	73	1918
37	75	1911
38	77	1904
39	78	1892
40	80	1883
41	82	1874
42	84	1887
43	86	1887
44	88	1880
45	90	1876
46	92	1872
47	94	1866
48	95	1859
49	97	1850
50	99	1853
51	101	1853
52	103	1848
53	105	1842
54	106	1837
55	108	1832
56	110	1827
57	112	1821
58	114	1829
59	117	1838
60	118	1831
61	120	1826
62	122	1821
63	124	1816
64	125	1810
65	127	1805
66	129	1805
67	133	1827
68	135	1830
69	137	1824
70	138	1818
71	140	1812
72	142	1808
73	144	1804
74	146	1802
75	149	1811
76	151	1811
77	153	1808
78	155	1808
79	156	1804
80	158	1800
81	160	1795
82	162	1794
83	165	1801
84	168	1812
85	170	1809
86	171	1804
87	173	1798
88	175	1794
89	177	1792
90	181	1808
91	182	1804
92	184	1799
93	186	1797
94	188	1791
95	189	1786
96	191	1779
97	194	1787
98	196	1787
99	198	1783
100	200	1782
101	202	1779
102	203	1774
103	205	1769
104	207	1765
105	210	1773
106	211	1769
107	213	1764
108	215	1760
109	217	1756
110	218	1752
111	220	1748
112	222	1743
113	223	1738
114	226	1740
115	227	1736
116	229	1733
117	231	1728
118	232	1724
119	234	1720
120	236	1716
121	237	1711
122	239	1707
123	241	1709
124	245	1717
125	246	1713
126	248	1708
127	250	1704
128	251	1700
129	253	1697
130	255	1694
131	257	1695
132	259	1692
133	261	1688
134	262	1684
135	264	1680
136	266	1677
137	267	1673
138	269	1669
139	271	1666
140	273	1668
141	275	1666
142	277	1662
143	279	1659
144	280	1655
145	282	1652
146	284	1649
147	285	1645
148	287	1644
149	290	1646
150	292	1643
151	294	1641
152	295	1638
153	297	1635
154	299	1631
155	301	1628
156	302	1626
157	305	1626
158	307	1623
159	308	1620
160	310	1617
161	312	1614
162	313	1610
163	315	1608
164	317	1609
165	320	1611
166	322	1608
167	324	1604
168	325	1601
169	327	1598
170	329	1595
171	330	1592
172	332	1589
173	334	1585
174	336	1587
175	338	1584
176	339	1580
177	341	1577
178	343	1574
179	344	1571
180	346	1568
181	348	1564
182	349	1561
183	352	1561
184	353	1558
185	355	1556
186	357	1552
187	359	1553
188	361	1550
189	362	1547
190	364	1544
191	366	1544
192	368	1542
193	370	1540
194	372	1537
195	374	1535
196	375	1532
197	377	1529
198	379	1526
199	380	1523
200	383	1524
201	385	1522
202	387	1519
203	388	1517
204	390	1514
205	392	1511
206	393	1508
207	395	1506
208	397	1504
209	399	1504
210	401	1501
211	403	1499
212	405	1496
213	406	1493
214	408	1490
215	409	1487
216	411	1485
217	413	1483
218	415	1483
219	417	1480
220	419	1477
221	420	1474
222	422	1471
223	423	1468
224	425	1466
225	427	1463
226	429	1462
227	431	1461
228	433	1458
229	434	1455
230	436	1453
231	438	1450
232	439	1447
233	441	1444
234	443	1442
235	445	1442
236	447	1440
237	448	1437
238	450	1434
239	452	1431
240	453	1429
241	455	1426
242	457	1424
243	458	1421
244	461	1422
245	463	1420
246	465	1418
247	467	1416
248	468	1413
249	470	1411
250	472	1408
251	473	1406
252	475	1403
253	478	1405
254	480	1402
255	481	1400
256	483	1397
257	485	1394
258	486	1392
259	488	1389
260	489	1387
261	491	1384
262	494	1384
263	495	1382
264	497	1380
265	499	1378
266	501	1375
267	502	1373
268	504	1370
269	506	1368
270	508	1366
271	510	1365
272	511	1363
273	513	1360
274	515	1358
275	517	1356
276	518	1354
277	520	1351
278	522	1349
279	524	1349
280	526	1347
281	528	1344
282	529	1342
283	531	1340
284	533	1337
285	534	1335
286	536	1333
287	538	1330
288	540	1330
289	542	1327
290	543	1325
291	545	1322
292	547	1320
293	549	1319
294	551	1317
295	553	1315
296	555	1314
297	557	1314
298	559	1311
299	561	1309
300	562	1307
301	564	1305
302	566	1302
303	567	1300
304	569	1298
305	572	1297
306	574	1296
307	576	1294
308	577	1291
309	579	1289
310	580	1287
311	582	1284
312	584	1282
313	586	1280
314	588	1280
315	590	1278
316	592	1276
317	594	1274
318	595	1271
319	597	1269
320	599	1267
321	600	1265
322	603	1264
323	605	1263
324	607	1260
325	608	1258
326	610	1256
327	611	1253
328	613	1251
329	615	1249
330	616	1246
331	619	1246
332	621	1244
333	623	1242
334	624	1240
335	626	1238
336	628	1235
337	629	1233
338	631	1231
339	632	1228
340	635	1228
341	637	1225
342	638	1223
343	640	1221
344	641	1218
345	643	1216
346	645	1214
347	647	1212
348	648	1210
349	651	1209
350	653	1207
351	654	1205
352	656	1203
353	658	1200
354	659	1198
355	661	1196
356	662	1193
357	664	1191
358	667	1191
359	669	1190
360	671	1187
361	672	1185
362	674	1183
363	676	1181
364	677	1179
365	679	1176
366	681	1175
367	684	1175
368	685	1173
369	687	1170
370	689	1168
371	690	1166
372	692	1164
373	694	1161
374	695	1159
375	699	1160
